CUSTOMERNUMBER;CUSTOMERNAME;CONTACTLASTNAME;CONTACTFIRSTNAME;PHONE;ADDRESSLINE1;ADDRESSLINE2;CITY;POSTALCODE;SALESREPEMPLOYEENUMBER;CREDITLIMIT
103;Atelier graphique;Schmitt;Carine;40.32.2555;54, rue Royale;;Nantes;44000;1370;21000
119;La Rochelle Gifts;Labrune;Janine;40.67.8555;67, rue des Cinquante Otages;;Nantes;44000;1370;118200
146;Saveley & Henriot, Co.;Saveley;Mary;78.32.5555;2, rue du Commerce;;Lyon;69004;1337;123900
171;Daedalus Designs Imports;Rancé;Martine;20.16.1555;184, chaussée de Tournai;;Lille;59000;1370;82900
172;La Corne D'abondance, Co.;Bertrand;Marie;(1) 42.34.2555;265, boulevard Charonne;;Paris;75012;1337;84300
209;Mini Caravy;Citeaux;Frédérique;88.60.1555;24, place Kléber;;Strasbourg;67000;1370;53800
242;Alpha Cognac;Roulet;Annette;61.77.6555;1 rue Alsace-Lorraine;;Toulouse;31000;1370;61100
250;Lyon Souveniers;Da Cunha;Daniel;+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;75508;1337;68100
256;Auto Associés & Cie.;Tonini;Daniel;30.59.8555;67, avenue de l'Europe;;Versailles;78000;1370;77900
350;Marseille Mini Autos;Lebihan;Laurence;91.24.4555;12, rue des Bouchers;;Marseille;13008;1337;65000
353;Reims Collectables;Henriot;Paul;26.47.1555;59 rue de l'Abbaye;;Reims;51100;1337;81100
406;Auto Canal+ Petit;Perrier;Dominique;(1) 47.55.6555;25, rue Lauriston;;Paris;75016;1337;95000
